Date,Time,Open,High,Low,Close,Volume
04-11-2024,09:15:00,51950,51990,51751,51805.2,1
04-11-2024,09:20:00,51800,51814.4,51700,51700,1
04-11-2024,09:25:00,51690,51748.3,51655,51660.5,1
04-11-2024,09:30:00,51663.2,51744.95,51599.55,51617.3,1
04-11-2024,09:35:00,51608.45,51666.85,51600,51613.65,1
04-11-2024,09:40:00,51622.35,51685,51612.7,51633,1
04-11-2024,09:45:00,51631.35,51638.45,51580.85,51618,1
04-11-2024,09:50:00,51620.15,51664.6,51584.05,51610.55,1
04-11-2024,09:55:00,51615.25,51710.3,51593.75,51707.1,1
04-11-2024,10:00:00,51706.5,51724,51633.25,51633.25,1
04-11-2024,10:05:00,51637.85,51639.75,51591.5,51595,1
04-11-2024,10:10:00,51600,51613.9,51531.45,51565.75,1
04-11-2024,10:15:00,51566.15,51600,51541.75,51581.15,1
04-11-2024,10:20:00,51589.95,51614.4,51564.65,51598.15,1
04-11-2024,10:25:00,51596.95,51614,51561.8,51576.65,1
04-11-2024,10:30:00,51577,51633,51560,51563.9,1
04-11-2024,10:35:00,51563.55,51584.85,51516.25,51521.6,1
04-11-2024,10:40:00,51522.25,51548.95,51513.1,51545,1
04-11-2024,10:45:00,51538.9,51571.95,51511.65,51527.35,1
04-11-2024,10:50:00,51521,51527.1,51484.1,51490,1
04-11-2024,10:55:00,51497.75,51500,51458.1,51462.85,1
04-11-2024,11:00:00,51465,51480,51450.9,51455.9,1
04-11-2024,11:05:00,51453.65,51480,51405.8,51419.85,1
04-11-2024,11:10:00,51413,51419.85,51293.3,51348,1
04-11-2024,11:15:00,51336.45,51380.65,51300,51349.1,1
04-11-2024,11:20:00,51349.95,51404.1,51338.9,51373.2,1
04-11-2024,11:25:00,51370.05,51436,51370,51378,1
04-11-2024,11:30:00,51378.7,51393.1,51336.05,51340.3,1
04-11-2024,11:35:00,51342.8,51369.55,51323,51331,1
04-11-2024,11:40:00,51335.25,51357.05,51301.05,51333.25,1
04-11-2024,11:45:00,51339.4,51353.95,51300,51304.95,1
04-11-2024,11:50:00,51304.75,51347.45,51302.7,51326.1,1
04-11-2024,11:55:00,51326.3,51344.8,51310.05,51330,1
04-11-2024,12:00:00,51330.05,51416,51330.05,51415.95,1
04-11-2024,12:05:00,51410,51443.55,51361.65,51362,1
04-11-2024,12:10:00,51361.65,51388.5,51327.2,51327.2,1
04-11-2024,12:15:00,51328.55,51364.7,51301.65,51322.95,1
04-11-2024,12:20:00,51322.4,51362.35,51322.35,51326.4,1
04-11-2024,12:25:00,51326,51357.75,51322.95,51342,1
04-11-2024,12:30:00,51338.1,51377.35,51333.05,51361.15,1
04-11-2024,12:35:00,51366.75,51387.95,51349.45,51349.45,1
04-11-2024,12:40:00,51362.4,51397.8,51345,51373.05,1
04-11-2024,12:45:00,51380.05,51392.1,51342.5,51348.85,1
04-11-2024,12:50:00,51347.6,51360,51331,51340,1
04-11-2024,12:55:00,51337.05,51343.85,51320,51320,1
04-11-2024,13:00:00,51320.1,51373.3,51320.1,51369.5,1
04-11-2024,13:05:00,51369,51399.95,51355,51399.95,1
04-11-2024,13:10:00,51400.95,51425,51374.5,51418.9,1
04-11-2024,13:15:00,51421,51432.1,51371.3,51380.05,1
04-11-2024,13:20:00,51384.05,51399.65,51381,51383.7,1
04-11-2024,13:25:00,51381.1,51418.25,51380,51385.2,1
04-11-2024,13:30:00,51401.85,51425,51385.35,51406.05,1
04-11-2024,13:35:00,51410,51448.45,51400.45,51429.75,1
04-11-2024,13:40:00,51429.8,51479.4,51418.4,51426.45,1
04-11-2024,13:45:00,51439.2,51477.75,51425.1,51470.05,1
04-11-2024,13:50:00,51462,51488.5,51431.1,51437.1,1
04-11-2024,13:55:00,51440,51483.95,51411.05,51483.95,1
04-11-2024,14:00:00,51480.05,51499.8,51466.65,51490,1
04-11-2024,14:05:00,51490.8,51514.8,51449.6,51509.9,1
04-11-2024,14:10:00,51500.55,51525,51489.55,51519.7,1
04-11-2024,14:15:00,51504,51550,51477.5,51480.55,1
04-11-2024,14:20:00,51480,51527.15,51475,51482.2,1
04-11-2024,14:25:00,51483.75,51512.5,51450,51475,1
04-11-2024,14:30:00,51478.6,51500,51473.05,51485.4,1
04-11-2024,14:35:00,51484.8,51518,51477.1,51511,1
04-11-2024,14:40:00,51516.75,51528.1,51477,51480.1,1
04-11-2024,14:45:00,51479.6,51549,51479.6,51544.55,1
04-11-2024,14:50:00,51547.25,51549,51525,51527.5,1
04-11-2024,14:55:00,51536.95,51540,51491.05,51524.85,1
04-11-2024,15:00:00,51525,51597.75,51503.9,51533.75,1
04-11-2024,15:05:00,51546.65,51565,51512.25,51565,1
04-11-2024,15:10:00,51557.4,51569.15,51540,51557.15,1
04-11-2024,15:15:00,51560,51569.9,51522,51559.05,1
04-11-2024,15:20:00,51559.85,51560,51548,51555,1
04-11-2024,15:25:00,51551.5,51560,51535.55,51540,1
