O51764.50,H51764.50,L51418.80,C51456.00
O51454.35,H51460.05,L51351.80,C51358.20
O51349.70,H51408.70,L51317.40,C51325.40
O51320.65,H51415.35,L51299.10,C51311.55
O51310.45,H51363.20,L51299.30,C51306.65
O51307.05,H51368.85,L51303.10,C51328.55
O51326.85,H51326.85,L51286.55,C51318.20
O51317.15,H51360.20,L51294.05,C51314.75
O51314.20,H51392.25,L51304.25,C51386.45
O51382.10,H51413.25,L51340.95,C51348.70
O51348.55,H51348.55,L51299.80,C51307.80
O51307.05,H51317.35,L51275.30,C51301.55
O51301.35,H51333.25,L51278.05,C51312.05
O51310.55,H51342.40,L51296.65,C51324.50
O51325.30,H51335.10,L51295.90,C51310.65
O51306.55,H51355.35,L51298.65,C51314.60
O51317.50,H51324.50,L51281.55,C51284.10
O51284.55,H51308.00,L51276.60,C51299.55
O51301.10,H51323.50,L51274.90,C51285.00
O51284.45,H51290.70,L51255.10,C51264.30
O51263.40,H51272.65,L51234.90,C51249.70
O51248.60,H51256.25,L51230.60,C51249.10
O51242.95,H51269.25,L51194.75,C51205.45
O51201.05,H51208.30,L51094.95,C51121.40
O51121.55,H51139.05,L51078.30,C51104.00
O51104.80,H51153.90,L51101.40,C51116.35
O51117.40,H51162.90,L51114.25,C51123.75
O51125.65,H51130.15,L51092.35,C51096.40
O51097.50,H51114.75,L51087.75,C51092.50
O51092.85,H51110.40,L51067.20,C51099.45
O51098.65,H51109.10,L51076.55,C51087.50
O51087.60,H51107.70,L51082.00,C51107.70
O51103.00,H51118.65,L51088.00,C51100.85
O51100.80,H51165.45,L51097.25,C51156.50
O51159.25,H51174.65,L51116.80,C51116.80
O51117.20,H51132.55,L51095.20,C51102.65
O51096.40,H51113.85,L51069.90,C51083.90
O51084.30,H51106.10,L51073.00,C51078.10
O51076.50,H51103.70,L51071.70,C51094.35
O51092.75,H51117.15,L51082.05,C51112.85
O51112.00,H51130.70,L51097.60,C51105.60
O51103.90,H51138.35,L51095.45,C51120.85
O51121.30,H51134.85,L51095.80,C51106.50
O51111.70,H51115.30,L51088.50,C51091.10
O51090.40,H51100.95,L51077.80,C51090.70
O51090.45,H51116.50,L51089.95,C51107.95
O51106.90,H51136.45,L51090.85,C51131.05
O51128.10,H51165.00,L51110.15,C51143.40
O51143.05,H51166.80,L51108.60,C51124.80
O51126.45,H51134.50,L51111.05,C51118.50
O51117.20,H51139.30,L51111.80,C51128.95
O51132.10,H51157.55,L51120.45,C51144.15
O51149.30,H51173.35,L51131.65,C51170.95
O51172.20,H51204.30,L51158.00,C51175.85
O51176.05,H51189.30,L51158.35,C51180.35
O51179.55,H51195.05,L51157.50,C51170.50
O51170.00,H51184.55,L51134.45,C51177.60
O51178.45,H51224.75,L51173.00,C51210.50
O51207.00,H51221.80,L51173.10,C51204.80
O51205.00,H51223.70,L51200.20,C51210.85
O51207.65,H51230.05,L51166.00,C51170.90
O51172.45,H51214.70,L51167.75,C51180.80
O51180.90,H51196.35,L51141.80,C51175.45
O51176.00,H51199.60,L51169.00,C51178.80
O51172.50,H51202.95,L51165.10,C51195.95
O51193.40,H51203.45,L51163.35,C51172.60
O51170.50,H51210.90,L51155.60,C51204.35
O51201.30,H51222.90,L51191.55,C51211.15
O51208.75,H51212.60,L51165.60,C51191.10
O51192.80,H51236.60,L51162.65,C51200.95
O51201.05,H51235.20,L51175.85,C51235.20
O51233.45,H51233.45,L51206.40,C51218.95
O51218.15,H51254.90,L51181.15,C51233.65
O51230.75,H51253.25,L51222.70,C51250.85
O51250.40,H51260.80,L51205.10,C51227.20
O51052.60,H51279.55,L51052.30,C51263.85
O51268.30,H51268.30,L51124.10,C51229.90
O51229.05,H51267.40,L51173.90,C51185.00
O51185.80,H51279.45,L51155.00,C51197.35
O51191.20,H51195.65,L51078.45,C51107.40
O51106.40,H51134.20,L51065.40,C51134.20
O51134.80,H51145.30,L51102.50,C51122.95
O51127.05,H51170.95,L51080.20,C51124.20
O51123.80,H51188.40,L51123.65,C51147.80
O51145.10,H51250.30,L51112.00,C51209.55
O51212.30,H51248.50,L51179.85,C51248.50
O51250.65,H51261.70,L51204.45,C51207.95
O51206.95,H51226.70,L51165.25,C51203.15
O51203.85,H51241.00,L51200.45,C51236.85
O51237.40,H51436.85,L51227.05,C51410.70
O51406.90,H51414.00,L51215.25,C51254.50
O51251.55,H51253.70,L51028.75,C51113.50
O51114.40,H51152.65,L51082.75,C51102.15
O51100.80,H51186.35,L51078.60,C51180.25
O51179.25,H51237.15,L51141.55,C51166.75
O51165.85,H51167.65,L51072.05,C51118.10
O51115.15,H51146.75,L51080.85,C51117.85
O51119.35,H51185.60,L51113.70,C51181.45
O51182.95,H51252.25,L51172.10,C51240.60
O51238.40,H51278.85,L51171.35,C51184.15
O51182.40,H51231.70,L51126.55,C51150.05
O51158.20,H51174.20,L51101.80,C51109.70
O51114.40,H51196.45,L51082.10,C51170.20
O51172.60,H51193.45,L51048.50,C51050.00
O51050.35,H51073.25,L50869.70,C50940.95
O50940.85,H50984.30,L50897.05,C50963.65
O50964.15,H51010.10,L50938.80,C51000.95
O50997.40,H51085.70,L50954.45,C51031.65
O51029.95,H51087.05,L50941.20,C51085.75
