O52154.30,H52237.55,L52073.35,C52194.95
O52201.70,H52289.35,L52185.95,C52198.95
O52195.75,H52214.65,L52106.35,C52106.60
O52101.40,H52157.30,L52092.65,C52092.80
O52093.35,H52133.30,L52061.70,C52073.75
O52072.20,H52084.80,L52019.65,C52078.10
O52079.35,H52129.45,L52079.30,C52093.05
O52095.40,H52182.20,L52092.35,C52168.45
O52166.45,H52171.55,L52089.15,C52093.05
O52092.20,H52105.10,L52060.80,C52096.25
O52095.15,H52118.55,L52074.95,C52077.65
O52078.70,H52129.55,L52052.45,C52125.70
O52125.90,H52146.95,L52114.05,C52131.85
O52129.85,H52137.25,L52060.30,C52060.90
O52061.35,H52089.55,L52034.55,C52063.85
O52062.90,H52094.40,L52052.60,C52071.10
O52070.60,H52111.15,L52060.20,C52088.15
O52091.70,H52127.35,L52088.20,C52114.70
O52115.65,H52122.80,L52082.75,C52086.10
O52086.20,H52095.90,L52069.20,C52086.30
O52088.15,H52136.00,L52088.15,C52136.00
O52135.50,H52146.95,L52117.30,C52146.95
O52144.10,H52188.90,L52135.20,C52176.60
O52177.35,H52180.40,L52134.70,C52137.45
O52136.35,H52169.70,L52131.65,C52154.80
O52155.50,H52173.10,L52140.30,C52143.10
O52143.40,H52171.65,L52129.75,C52160.30
O52157.45,H52167.65,L52126.55,C52136.35
O52135.15,H52166.10,L52134.20,C52162.85
O52164.80,H52177.45,L52151.15,C52155.40
O52155.60,H52167.05,L52119.40,C52137.00
O52134.90,H52149.65,L52112.20,C52147.05
O52146.50,H52259.30,L52121.15,C52258.45
O52259.80,H52391.05,L52201.40,C52201.40
O52201.15,H52334.40,L52196.90,C52334.15
O52336.45,H52378.10,L52314.60,C52331.45
O52331.05,H52408.40,L52319.10,C52372.40
O52379.55,H52424.75,L52364.15,C52377.75
O52376.60,H52412.80,L52359.30,C52394.70
O52392.40,H52438.75,L52389.45,C52411.35
O52419.55,H52440.50,L52394.20,C52438.60
O52436.45,H52436.45,L52396.15,C52408.35
O52408.10,H52434.25,L52399.85,C52431.20
O52432.65,H52442.80,L52391.60,C52402.10
O52399.35,H52419.25,L52390.15,C52412.65
O52412.55,H52430.10,L52379.90,C52383.70
O52388.95,H52416.35,L52386.65,C52402.80
O52402.95,H52413.40,L52381.80,C52390.65
O52386.15,H52400.65,L52380.15,C52388.00
O52388.90,H52403.60,L52376.70,C52380.70
O52379.45,H52418.45,L52379.15,C52390.75
O52384.40,H52393.25,L52353.05,C52353.80
O52354.15,H52403.15,L52352.40,C52388.15
O52388.95,H52394.70,L52372.30,C52379.80
O52379.60,H52398.75,L52365.65,C52377.70
O52381.05,H52392.10,L52369.45,C52373.35
O52372.30,H52388.70,L52349.10,C52368.80
O52364.45,H52372.20,L52327.25,C52360.95
O52357.60,H52380.75,L52341.40,C52362.35
O52362.00,H52369.20,L52324.45,C52330.25
O52333.05,H52355.15,L52324.65,C52350.60
O52348.60,H52358.90,L52328.50,C52345.40
O52344.20,H52375.25,L52342.65,C52363.00
O52358.30,H52384.75,L52357.50,C52380.80
O52376.20,H52388.00,L52356.60,C52365.55
O52363.70,H52377.70,L52315.80,C52335.60
O52337.60,H52351.90,L52317.85,C52325.55
O52323.85,H52335.90,L52303.80,C52331.50
O52330.05,H52342.80,L52308.05,C52325.30
O52325.75,H52342.15,L52265.90,C52306.20
O52305.00,H52351.10,L52285.05,C52295.50
O52294.50,H52348.95,L52292.60,C52302.00
O52300.30,H52305.55,L52271.30,C52285.25
O52281.35,H52314.35,L52279.10,C52311.70
O52308.20,H52317.95,L52288.85,C52302.55
