O51950.00,H51990.00,L51751.00,C51805.20
O51800.00,H51814.40,L51700.00,C51700.00
O51690.00,H51748.30,L51655.00,C51660.50
O51663.20,H51744.95,L51599.55,C51617.30
O51608.45,H51666.85,L51600.00,C51613.65
O51622.35,H51685.00,L51612.70,C51633.00
O51631.35,H51638.45,L51580.85,C51618.00
O51620.15,H51664.60,L51584.05,C51610.55
O51615.25,H51710.30,L51593.75,C51707.10
O51706.50,H51724.00,L51633.25,C51633.25
O51637.85,H51639.75,L51591.50,C51595.00
O51600.00,H51613.90,L51531.45,C51565.75
O51566.15,H51600.00,L51541.75,C51581.15
O51589.95,H51614.40,L51564.65,C51598.15
O51596.95,H51614.00,L51561.80,C51576.65
O51577.00,H51633.00,L51560.00,C51563.90
O51563.55,H51584.85,L51516.25,C51521.60
O51522.25,H51548.95,L51513.10,C51545.00
O51538.90,H51571.95,L51511.65,C51527.35
O51521.00,H51527.10,L51484.10,C51490.00
O51497.75,H51500.00,L51458.10,C51462.85
O51465.00,H51480.00,L51450.90,C51455.90
O51453.65,H51480.00,L51405.80,C51419.85
O51413.00,H51419.85,L51293.30,C51348.00
O51336.45,H51380.65,L51300.00,C51349.10
O51349.95,H51404.10,L51338.90,C51373.20
O51370.05,H51436.00,L51370.00,C51378.00
O51378.70,H51393.10,L51336.05,C51340.30
O51342.80,H51369.55,L51323.00,C51331.00
O51335.25,H51357.05,L51301.05,C51333.25
O51339.40,H51353.95,L51300.00,C51304.95
O51304.75,H51347.45,L51302.70,C51326.10
O51326.30,H51344.80,L51310.05,C51330.00
O51330.05,H51416.00,L51330.05,C51415.95
O51410.00,H51443.55,L51361.65,C51362.00
O51361.65,H51388.50,L51327.20,C51327.20
O51328.55,H51364.70,L51301.65,C51322.95
O51322.40,H51362.35,L51322.35,C51326.40
O51326.00,H51357.75,L51322.95,C51342.00
O51338.10,H51377.35,L51333.05,C51361.15
O51366.75,H51387.95,L51349.45,C51349.45
O51362.40,H51397.80,L51345.00,C51373.05
O51380.05,H51392.10,L51342.50,C51348.85
O51347.60,H51360.00,L51331.00,C51340.00
O51337.05,H51343.85,L51320.00,C51320.00
O51320.10,H51373.30,L51320.10,C51369.50
O51369.00,H51399.95,L51355.00,C51399.95
O51400.95,H51425.00,L51374.50,C51418.90
O51421.00,H51432.10,L51371.30,C51380.05
O51384.05,H51399.65,L51381.00,C51383.70
O51381.10,H51418.25,L51380.00,C51385.20
O51401.85,H51425.00,L51385.35,C51406.05
O51410.00,H51448.45,L51400.45,C51429.75
O51429.80,H51479.40,L51418.40,C51426.45
O51439.20,H51477.75,L51425.10,C51470.05
O51462.00,H51488.50,L51431.10,C51437.10
O51440.00,H51483.95,L51411.05,C51483.95
O51480.05,H51499.80,L51466.65,C51490.00
O51490.80,H51514.80,L51449.60,C51509.90
O51500.55,H51525.00,L51489.55,C51519.70
O51504.00,H51550.00,L51477.50,C51480.55
O51480.00,H51527.15,L51475.00,C51482.20
O51483.75,H51512.50,L51450.00,C51475.00
O51478.60,H51500.00,L51473.05,C51485.40
O51484.80,H51518.00,L51477.10,C51511.00
O51516.75,H51528.10,L51477.00,C51480.10
O51479.60,H51549.00,L51479.60,C51544.55
O51547.25,H51549.00,L51525.00,C51527.50
O51536.95,H51540.00,L51491.05,C51524.85
O51525.00,H51597.75,L51503.90,C51533.75
O51546.65,H51565.00,L51512.25,C51565.00
O51557.40,H51569.15,L51540.00,C51557.15
O51560.00,H51569.90,L51522.00,C51559.05
O51559.85,H51560.00,L51548.00,C51555.00
O51551.50,H51560.00,L51535.55,C51540.00============================
O51325.00,H51614.85,L51325.00,C51595.25
O51584.85,H51599.00,L51464.25,C51553.15
O51549.80,H51589.30,L51500.00,C51506.40
O51495.75,H51588.00,L51482.85,C51517.70
O51512.25,H51520.85,L51400.55,C51421.10
O51432.35,H51457.50,L51402.00,C51455.00
O51450.90,H51484.90,L51427.00,C51458.10
O51453.30,H51499.90,L51400.90,C51459.90
O51450.20,H51529.60,L51449.60,C51471.15
O51480.00,H51582.15,L51442.00,C51530.00
O51535.00,H51562.00,L51494.00,C51562.00
O51565.00,H51576.75,L51520.30,C51536.00
O51521.90,H51545.95,L51490.05,C51508.65
O51514.05,H51569.00,L51512.90,C51567.95
O51568.75,H51760.60,L51555.40,C51727.05
O51747.75,H51757.00,L51551.60,C51601.90
O51594.25,H51594.25,L51372.50,C51446.85
O51449.85,H51485.00,L51425.90,C51426.20
O51436.25,H51509.00,L51418.00,C51505.00
O51509.95,H51559.85,L51471.00,C51476.10
O51475.00,H51491.85,L51420.20,C51460.90
O51450.80,H51490.00,L51432.55,C51455.00
O51456.20,H51511.55,L51452.25,C51508.50
O51518.90,H51582.10,L51499.40,C51557.00
O51563.60,H51600.00,L51516.65,C51534.05
O51533.15,H51549.95,L51475.00,C51493.75
